,Date,Name,Year,Letterboxd URI,Rating,Watched Date
0,2020-05-02,Elena,2012.0,https://boxd.it/17uy3p,3.5,2015-07-12
2,2020-05-02,The Starfish,1928.0,https://boxd.it/17uZhj,5.0,2016-10-12
3,2020-05-02,The Broken Circle Breakdown,2012.0,https://boxd.it/17uZV9,4.0,2017-04-20
4,2020-05-02,I Travel Because I Have to I Come Back Because I Love You,2009.0,https://boxd.it/17v0Et,4.0,2017-08-31
5,2020-05-02,Frances Ha,2012.0,https://boxd.it/17v13X,4.5,2017-11-04
6,2020-05-02,Trainspotting,1996.0,https://boxd.it/17uIMf,3.5,2017-11-19
7,2020-05-02,Call Me by Your Name,2017.0,https://boxd.it/17v2SH,3.5,2018-02-10
8,2020-05-02,Good Manners,2017.0,https://boxd.it/17v3md,3.5,2018-08-18
9,2020-05-02,Talking Heads,1980.0,https://boxd.it/17v3RF,5.0,2018-10-10
10,2020-05-02,Rat Fever,2012.0,https://boxd.it/17v4rX,5.0,2019-01-18
11,2020-05-02,Brasil Impossível,2018.0,https://boxd.it/17v7H5,5.0,2019-01-30
12,2020-05-02,Coffee with Cinnamon,2017.0,https://boxd.it/17v4LD,4.5,2019-02-27
13,2020-05-02,It’s Never Nighttime in the Map,2016.0,https://boxd.it/17vztb,4.5,2019-03-10
14,2020-05-02,Que Som Tem a Distância?,2018.0,https://boxd.it/17v82x,3.5,2019-03-22
15,2020-05-02,The Comforting Hand,2012.0,https://boxd.it/17v8yX,4.0,2019-04-03
16,2020-05-02,The Handmaiden,2016.0,https://boxd.it/17v93h,5.0,2019-04-21
17,2020-05-02,Rend Your Heart,2018.0,https://boxd.it/17vhJZ,2.5,2019-04-27
18,2020-05-02,Oldboy,2003.0,https://boxd.it/17vhSx,4.0,2019-04-29
19,2020-05-02,Bacurau,2019.0,https://boxd.it/17vfgh,4.0,2019-09-01
20,2020-05-02,Letrux em Noite de Climão: Ao Vivo,2019.0,https://boxd.it/17xApt,3.0,2020-01-05
21,2020-05-02,Happy Together,1997.0,https://boxd.it/17viJ7,5.0,2020-03-15
22,2020-05-02,The State of Things,1982.0,https://boxd.it/17w0bt,4.0,2020-03-17
23,2020-05-02,Midsommar,2019.0,https://boxd.it/17viYh,4.0,2020-03-20
24,2020-05-02,The Other End,2016.0,https://boxd.it/17vi4j,0.5,2020-03-22
