Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-05-14,Green Book,2018,https://boxd.it/18Zv17,2.5,,primevideo,2020-05-13
2020-05-31,Retratos Sobre o Não Ver,2018,https://boxd.it/1aSVLz,2,,,2020-05-13
2020-05-15,Secrets & Lies,1996,https://boxd.it/195zQl,4.5,,medeiafilmes,2020-05-14
2020-05-16,Lavender,2019,https://boxd.it/198lsP,2.5,,,2020-05-14
2020-05-16,Vivi Wolf and the Magical Room,2019,https://boxd.it/198phL,3.5,,,2020-05-14
2020-05-16,Apneia,2019,https://boxd.it/198wF1,3.5,,,2020-05-14
2020-05-17,Melancholia,2011,https://boxd.it/19jTad,2.5,,off,2020-05-16
2020-05-18,Marco,2019,https://boxd.it/19qGb7,3,,,2020-05-16
2020-05-19,Estranho Animal,2019,https://boxd.it/19xieP,1,,,2020-05-16
2020-05-19,Planeta Fábrica,2019,https://boxd.it/19xsp9,3,,,2020-05-16
2020-05-19,As Constituintes de 88,2019,https://boxd.it/19A6Ub,3,,,2020-05-16
2020-05-19,Bonde,2019,https://boxd.it/19AgVt,1.5,,,2020-05-17
2020-05-19,I Bleed,2019,https://boxd.it/19Ai9B,3,,,2020-05-17
2020-05-20,Tempestade,2019,https://boxd.it/19FBix,3,,,2020-05-17
2020-05-20,A Ética das Hienas,2019,https://boxd.it/19FBvr,1,,,2020-05-17
2020-05-20,A Primeira Foto,2019,https://boxd.it/19FBBT,2,,,2020-05-17
2020-05-20,Jorge,2019,https://boxd.it/19FBWn,1.5,,,2020-05-17
2020-05-20,Mona,2019,https://boxd.it/19FC9B,3,,,2020-05-17
2020-05-20,Angela,2019,https://boxd.it/19FCtL,4,,,2020-05-18
2020-05-20,Drawing Life,2018,https://boxd.it/19FCGb,2.5,,,2020-05-18
2020-05-20,Licença Poética,2019,https://boxd.it/19FCQ1,2.5,,,2020-05-18
2020-05-20,Entremarés,2018,https://boxd.it/19FCZH,3,,,2020-05-18
2020-05-20,Extracts,2019,https://boxd.it/19FD7V,2,,,2020-05-18
2020-05-20,Sem Asas,2019,https://boxd.it/19FDfP,4,,,2020-05-18
2020-05-20,BLACKN3SS,2019,https://boxd.it/19FDm7,2,,,2020-05-18
2020-05-20,The Feather Pillow,2018,https://boxd.it/19FDI3,2,,,2020-05-18
2020-05-20,Around Copacabana,2020,https://boxd.it/19FEph,4,,,2020-05-18
2020-05-20,Vento de Sal,2018,https://boxd.it/19FDU9,2,,,2020-05-19
2020-05-20,Fartura,2019,https://boxd.it/19FE4t,5,,,2020-05-19
2020-05-20,Resurrection,2019,https://boxd.it/19FF7j,3.5,,,2020-05-19
2020-05-20,O Grande Amor de um Lobo,2018,https://boxd.it/19FIJb,4,,,2020-05-19
