,Timestamp,Qual é o nome do seu cargo? ,Quanto é seu salário mensal? ,Quantos anos você tem experiência na área?,Qual o regime de trabalho? ,"Como PJ, a empresa te obriga a cumprir um horário especificado por ela? ","Como CLT, você é obrigado a fazer horas além do seu horário? ",O que você faz no seu trabalho,Você é responsável por coordenar pessoas? ,Qual é o tamanho da sua empresa? ,Sua empresa é uma consultoria? ,empresa_codigo,localidade
161,30/05/2023 14:07:23,frontend,40000.0,4.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Sim,-1,PR
162,30/05/2023 14:10:53,Senior Software Engineer,47000.0,8.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,-1,SP
163,30/05/2023 14:13:11,Engineering Lead,120000.0,15.0,PJ,Não,,Desenvolvimento de novos produtos,Sim,Até 100 funcionár,Não,81,SP
164,30/05/2023 14:23:03,Desenvolvedor backend pleno 2,10300.0,10.0,PJ,Não,,Suporte de sistemas em produção,Sim,Até 100 funcionár,Não,118,SP
165,30/05/2023 14:56:14,Analista de TI,3500.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Sim,34,RJ
166,30/05/2023 15:10:25,Principal Engineer,24000.0,16.0,CLT,,Não,Desenvolvimento de plataforma interna ,Não,Mais de 1000 funcionários,Não,13,PB
167,30/05/2023 15:18:27,Desenvolvedor Senior,20000.0,11.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,90,SP
168,30/05/2023 15:26:03,Senior Front-end Engineer,42.0,9.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,18,SC
169,30/05/2023 15:51:00,Engenheiro de Dados,7700.0,3.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,63,SP
170,30/05/2023 15:52:31,Desenvolver Elixir Pleno,11000.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,92,RN
171,30/05/2023 16:02:20,Frontend senior,32000.0,5.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Sim,8,RN
172,30/05/2023 16:07:20,Product engineer ,41000.0,10.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,21,Portugal
173,30/05/2023 16:15:52,TechOps Analyst I,4500.0,5.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,45,RJ
174,30/05/2023 16:41:36,Senior Software Engineer,33050.0,4.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Não,76,ES
175,30/05/2023 17:16:38,Desenvolvedor senior,11484.0,4.0,CLT,,Sim,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Não,14,RJ
176,30/05/2023 17:35:34,Desenvolvedor de software ,7000.0,2.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Sim,20,SP
177,30/05/2023 17:36:25,Software Engineer,6000.0,1.0,PJ,Sim,,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,-1,SP
178,30/05/2023 17:55:41,Programador de Software,4500.0,3.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 100 funcionár,Não,94,SC
179,30/05/2023 17:56:45,Engenheiro de Software Júnior ,3500.0,2.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 500 funcionários,Não,91,SP
180,30/05/2023 18:18:29,FullStack Developer,16500.0,5.0,PJ,Sim,,Desenvolvimento de novos produtos,Não,Até 10 funcionários,Não,-1,MG
181,30/05/2023 18:30:30,Dev Senior,14300.0,8.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Sim,41,PR
182,30/05/2023 19:33:03,Analista de Sistemas I,3000.0,1.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,-1,MG
183,30/05/2023 19:46:28,Team lead ,37.0,8.0,CLT,,Não,Todos,Sim,Até 100 funcionár,Sim,-1,RN
184,30/05/2023 19:59:08,Dev,10279.0,11.0,CLT,,Não,Desenvolvimento de novos produtos,Sim,Até 100 funcionár,Não,-1,MG
