,Timestamp,Qual é o nome do seu cargo? ,Quanto é seu salário mensal? ,Quantos anos você tem experiência na área?,Qual o regime de trabalho? ,"Como PJ, a empresa te obriga a cumprir um horário especificado por ela? ","Como CLT, você é obrigado a fazer horas além do seu horário? ",O que você faz no seu trabalho,Você é responsável por coordenar pessoas? ,Qual é o tamanho da sua empresa? ,Sua empresa é uma consultoria? ,empresa_codigo,localidade
56,29/05/2023 16:35:49,Desenvolvedor de Software,11000.0,7.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,-1,PI
57,29/05/2023 16:49:10,Dev 3,5300.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,3,PR
58,29/05/2023 16:52:13,Tech Lead,13150.0,10.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,6,PR
59,29/05/2023 16:56:19,Desenvolvedor Back-end Júnior ,3181.0,1.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Sim,-1,DF
60,29/05/2023 16:59:31,Senior Software Engineer,36000.0,9.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,-1,PR
61,29/05/2023 17:00:53,Senior Software Engineer,18000.0,6.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,73,SP
62,29/05/2023 17:10:06,Cientista de dados,7600.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Sim,-1,SP
63,29/05/2023 17:25:41,Líder Técnico ,17500.0,10.0,CLT,,Sim,Gestão de Projetos,Sim,Mais de 1000 funcionários,Não,52,SP
64,29/05/2023 17:28:51,Desenvolvedor Backend,7292.0,2.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,0,SP
65,29/05/2023 17:32:01,Desenvolvedor salesforce senior ,17000.0,5.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Sim,43,CE
66,29/05/2023 17:43:57,Engenheiro de Analytics Senior ,14000.0,6.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,55,SP
67,29/05/2023 18:01:45,Engenheiro de Software Pleno,10000.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,9,PS
68,29/05/2023 18:04:48,Front end,10000.0,3.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 100 funcionár,Não,-1,RJ
69,29/05/2023 18:17:20,Desenvolvedor junior 1,1600.0,1.0,CLT,,Não,Suporte em sistemas legados,Não,Até 10 funcionários,Não,26,MG
70,29/05/2023 18:22:05,Product Manager ,13400.0,3.0,CLT,,Não,Gestão de Produtos,Não,Até 500 funcionários,Não,-1,SP
71,29/05/2023 18:24:19,SWE II,17000.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,87,RS
72,29/05/2023 18:28:40,Analista desenvolvedor traenee,3100.0,3.0,CLT,,Não,Suporte de sistemas em produção,Não,Até 500 funcionários,Não,93,SP
73,29/05/2023 18:31:21,Dev. Jr. Automações ,3300.0,1.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,87,RS
74,29/05/2023 18:45:38,Dev Backend III,14000.0,15.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,-1,PA
75,29/05/2023 18:50:10,Dev fullstack junior,5000.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Não,-1,SC
76,29/05/2023 18:53:47,Dev Front-end Senior,9000.0,4.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,113,RJ
77,29/05/2023 19:13:42,Engenheiro de software pleno,12000.0,5.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,46,SP
78,29/05/2023 19:14:46,Salesforce Developer,56250.0,23.0,PJ,Sim,,Desenvolvimento de novos produtos,Não,Até 1000 funcionários,Sim,-1,SP
79,29/05/2023 19:43:52,Senior Software Consultant,14400.0,13.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Sim,100,RN
80,29/05/2023 19:49:30,Engenheiro de Dados,20000.0,5.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,82,Bolívia
81,29/05/2023 19:58:56,Analista de desenvolvimento jr ,5800.0,3.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Sim,-1,SP
82,29/05/2023 20:07:12,Desenvolvedor Senior,11500.0,7.0,CLT,,Não,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,108,PE
83,29/05/2023 20:20:00,Desenvolvedor jr,3890.0,1.0,CLT,,Não,Suporte em sistemas legados,Não,Até 100 funcionár,Não,-1,PE
84,29/05/2023 20:20:35,"Arquiteto de Software ""pleno""",12000.0,18.0,CLT,,Sim,Desenvolvimento de novos produtos,Sim,Mais de 1000 funcionários,Não,7,PR
85,29/05/2023 20:24:36,Analista Jr,3900.0,3.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,-1,SC
86,29/05/2023 20:29:24,Desenvolvedor fullstack jr,2240.0,2.0,CLT,,Não,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Sim,1,PE
87,29/05/2023 20:35:35,Mobile Lead,12000.0,3.0,CLT,,Não,"Desenvolvimento, suporte e coordenação do time mobile ",Sim,Até 10 funcionários,Não,109,DF
88,29/05/2023 20:40:19,Engenheiro de Dados,40000.0,5.0,PJ,Não,,Desenvolvimento de novos produtos,Não,Até 500 funcionários,Sim,-1,PE
89,29/05/2023 20:41:57,Analista de sistemas I,5093.0,8.0,CLT,,Sim,Suporte de sistemas em produção,Não,Mais de 1000 funcionários,Não,-1,SP
90,29/05/2023 21:01:13,full stack web developer,8450.0,4.0,CLT,,Não,"Manutenção de servidores, gestão de websites, gestão de projetos e atuo como product owner. visto vários chapéus em um time de transformação digital",Não,Até 500 funcionários,Não,-1,SP
91,29/05/2023 21:33:52,Sênior Software Developer ,17500.0,17.0,CLT,,Não,Desenvolvimento de novos produtos,Sim,Mais de 1000 funcionários,Sim,-1,SP
92,29/05/2023 21:44:28,Analista arquitetura de sistemas sênior ,8500.0,10.0,CLT,,Sim,Desenvolvimento de novos produtos,Não,Mais de 1000 funcionários,Não,98,MG
